Gender,Height,Age,Grade,18Under,schsport,schperformance,HMAth,Heng,APClasses,Wkhrs,HWhrs,bksPl,bksSch,SocMedaccts,WkOuthrs,PostHS,MovTh,Phonehrs,AlienVisit,Car,Attsince9,Academy,Cafetwice,Breakfast,Portable,LangFl,WWattzone,Pets,AMPractice,TruancyCt,HouseApt,DineOut,FavMovie,FavMus,Txborn,Referral,FavSubj,LikeBlock
Female,67,15,10,1,No,Yes,97,94,1,0,5,0,3,2,7,College,15,3,No,No,Yes,PA,Yes,Yes,Yes,No,Yes,3,Yes,N0,Apartment,2,Rocky,ShownTunes,Yes,No,Math,Yes
Female,61,14,9,0,Yes,Yes,88,96,0,0,2,4,2,2,5,College,3,2,No,No,Yes,IB,No,No,Yes,Yes,Yes,2,Yes,N0,House,1,Megamind,Rock/Metal,Yes,No,History,Yes
Female,61,14,9,0,Yes,Yes,88,96,0,0,2,4,2,2,5,College,3,2,No,No,Yes,IB,No,No,Yes,Yes,Yes,2,Yes,N0,House,1,Megamind,Rock/Metal,Yes,No,History,Yes
Male,70,14,10,1,No,Yes,80,90,2,0,1,8,2,3,0,College,2,4,Yes,No,Yes,STEM,Yes,No,Yes,No,No,2,Yes,N0,House,0,Full Metal Jacket,Rock/Metal,Yes,No,History,No
Male,66,17,12,0,No,Yes,87,96,9,21,15,3,2,4,4,Other,5,3,Yes,No,Yes,PA,No,No,Yes,No,Yes,0,Yes,N0,Apartment,3,Reservoir dogs,Rock/Metal,No,Yes,History,Yes
Male,69,16,11,0,No,Yes,85,90,2,21,8,0,2,7,0,Work,2,0.5,Yes,No,Yes,STEM,Yes,Yes,Yes,No,Yes,3,Yes,N0,House,1,Ace Ventura: Pet Detective,Rap/Hip Hop,Yes,No,English,Yes
Male,71,16,11,1,Yes,Yes,97,99,15,0,10,5,4,3,0,Other,0,7,No,Yes,Yes,IB,No,Yes,Yes,Yes,Yes,4,Yes,N0,House,2,Ferris Buellers Day Off,Rock/Metal,Yes,No,English,Yes
Male,74,15,10,1,Yes,No,100,100,1,0,1,0,2,5,10,College,3,3,Yes,No,Yes,BUS,Yes,Yes,Yes,No,Yes,1,Yes,N0,Apartment,2,Superbad,Trap,Yes,Yes,Social Studies,No
Male,73,15,9,3,Yes,No,85,100,1,4,4,0,0,3,5,College,12,6,No,No,Yes,BUS,Yes,Yes,Yes,No,Yes,2,No,Yes,House,2,American Pie,Trap,Yes,Yes,English,No
Male,66,17,12,2,No,No,93,95,8,15,5,1,4,3,3,Work,4,5,No,No,Yes,BUS,Yes,Yes,Yes,Yes,Yes,0,No,N0,House,1,The Hangover,Trap,Yes,Yes,Social Studies,No
Female,64,14,9,1,No,Yes,98,98,1,0,4,10,3,1,0,College,6,4,No,No,Yes,STEM,No,No,Yes,Yes,Yes,1,No,N0,House,2,Wonder,Pop,Yes,No,Math,Yes
Male,69,15,10,2,Yes,No,100,100,0,0,5,2,1,2,14,College,7,18,Yes,No,Yes,STEM,Yes,No,Yes,No,Yes,1,Yes,N0,House,7,The darkest hour,R and B /Soul,Yes,Yes,English,No
Female,67,16,11,2,No,Yes,100,98,4,0,15,15,4,4,5,College,15,3,Yes,No,Yes,STEM,No,No,Yes,Yes,Yes,5,Yes,N0,House,1,A Walk To Remember,R and B /Soul,No,No,Math,Yes
Female,62,15,10,2,Yes,No,100,100,3,0,20,50,5,0,7,College,1,2,No,No,Yes,IB,No,Yes,Yes,Yes,Yes,0,Yes,N0,House,0,Mona Lisa Smile,Pop,No,No,History,Yes
Male,71,18,12,3,No,Yes,97,98,10,15,10,0,2,3,0,College,3,7,No,Yes,Yes,STEM,No,Yes,Yes,No,Yes,1,Yes,N0,House,1,The Hunt for Red October,Rock/Metal,Yes,No,Math,Yes
Female,67,15,10,1,No,Yes,98,95,3,0,3,0,2,2,14,College,1,6,No,No,Yes,STEM,No,Yes,Yes,No,Yes,1,Yes,N0,House,1,Black Panther,Countrry,Yes,No,math,Yes
Male,70,17,12,3,Yes,No,90,95,5,0,5,0,6,2,14,College,12,8,No,Yes,Yes,STEM,No,Yes,Yes,No,Yes,0,Yes,N0,House,5,The Avengers,Rap/Hip Hop,Yes,No,math,No
Female,67,16,11,1,Yes,Yes,100,100,4,0,5,0,2,2,4,College,2,4,No,No,Yes,STEM,No,No,Yes,Yes,Yes,0,Yes,N0,House,1,Matillda,Countrry,Yes,No,Math,Yes
Male,60,15,9,3,Yes,No,90,90,1,0,5,0,2,2,10,College,5,6,No,No,Yes,STEM,No,Yes,Yes,No,Yes,0,Yes,N0,House,5,The avengers,Rap/Hip Hop,Yes,No,Math,Yes
Male,69,17,12,3,Yes,Yes,100,98,5,10,2,1,3,2,3,College,0,4,No,No,Yes,STEM,Yes,Yes,Yes,Yes,Yes,1,Yes,N0,House,2,Meet the Blacks,Rap/Hip Hop,Yes,No,History,Yes
Male,72,16,10,2,Yes,No,100,96,2,0,1,0,2,3,4,College,3,5,No,No,Yes,IB,No,Yes,Yes,No,No,1,Yes,N0,House,1,IT,Trap,Yes,No,Science,Yes
Male,68,16,11,1,Yes,No,95,88,1,0,1,1,3,3,4,College,2,6,Yes,Yes,Yes,BUS,Yes,Yes,Yes,Yes,Yes,1,Yes,N0,House,3,Chucky,Rap/Hip Hop,Yes,Yes,Math,Yes
Male,65,14,9,2,Yes,No,99,99,1,0,2,2,1,2,2,College,4,7,No,No,Yes,STEM,Yes,No,No,No,Yes,2,Yes,N0,House,1,Endgame,Rap/Hip Hop,Yes,Yes,Science,Yes
Male,68,16,11,2,No,Yes,100,90,0,10,10,0,4,5,8,College,5,9,Yes,No,Yes,STEM,Yes,No,Yes,Yes,Yes,3,Yes,N0,House,2,Star Wars Empire Strikes Back,Rap/Hip Hop,Yes,Yes,Math,No
Male,65,14,9,1,No,Yes,87,95,1,0,3,0,3,2,0,College,1,5,Yes,No,Yes,STEM,No,Yes,Yes,No,Yes,1,Yes,N0,House,2,Back to the future,Rock/Metal,Yes,No,Science,Yes
Male,73,15,10,2,Yes,Yes,100,100,4,0,10,1,5,3,1,College,10,9,Yes,No,Yes,STEM,Yes,No,Yes,No,Yes,1,Yes,N0,House,2,The Dark Knight,Rock/Metal,Yes,No,Biology,No
Male,69,18,12,0,No,Yes,90,85,3,6,2,2,3,2,10,College,5,3,No,Yes,Yes,STEM,No,Yes,Yes,No,Yes,3,Yes,N0,House,2,Black Hawk Down,Countrry,Yes,Yes,History,No
Male,68,14,9,3,Yes,No,100,100,0,40,2,0,3,3,14,Work,7,5,No,No,Yes,BUS,Yes,No,No,No,Yes,2,No,N0,Apartment,0,Night School,Rap/Hip Hop,No,Yes,English,Yes
Male,70,15,10,1,Yes,No,100,98,2,2,5,0,3,8,8,College,6,7,Yes,No,Yes,IB,Yes,Yes,Yes,No,No,1,Yes,N0,House,3,Avatar,Rap/Hip Hop,Yes,Yes,English,Yes
Male,66,17,11,3,Yes,No,98,92,2,25,1,3,6,2,10,College,3,4,No,Yes,No,STEM,Yes,No,Yes,No,Yes,0,Yes,N0,Apartment,7,Ride Along,Rap/Hip Hop,No,Yes,History,No
Female,62,16,11,1,Yes,No,100,96,6,0,6,5,3,2,0,College,20,2,Yes,No,Yes,STEM,No,No,Yes,Yes,Yes,1,No,N0,Apartment,2,Coraline,Indie,Yes,No,math,Yes
Male,72,17,12,3,Yes,No,98,95,5,0,7,1,1,4,24,College,5,5,Yes,Yes,Yes,STEM,No,No,Yes,No,Yes,1,Yes,N0,House,3,Black Panther,Rap/Hip Hop,Yes,No,Math,No
Male,74,17,11,2,Yes,No,98,96,4,8,4,0,3,3,6,College,7,8,Yes,Yes,Yes,IB,No,No,Yes,Yes,Yes,2,Yes,N0,House,2,Space jam,Rap/Hip Hop,No,Yes,History,No
Female,62,16,10,4,Yes,No,97,99,3,0,6,1,3,4,5,College,8,5,Yes,Yes,Yes,STEM,No,No,Yes,No,Yes,1,Yes,N0,House,2,White chicks,Pop,Yes,No,Math,No
Male,72,17,12,3,Yes,No,98,95,5,0,6,1,1,3,24,College,5,5,Yes,Yes,Yes,STEM,No,No,Yes,No,Yes,1,Yes,N0,House,3,Black panther,Rap/Hip Hop,Yes,No,Math,No
Female,62,16,10,4,Yes,No,98,95,3,0,6,1,3,4,5,College,8,5,Yes,Yes,Yes,STEM,No,No,Yes,No,Yes,1,Yes,N0,House,2,White chicks,Pop,Yes,No,Math,No
Male,68,15,9,3,Yes,No,98,99,1,0,3,0,1,3,7,College,5,5,Yes,No,Yes,STEM,No,No,Yes,No,Yes,0,Yes,N0,House,5,Avengers,Rap/Hip Hop,Yes,No,Math,No
Male,74,16,11,2,Yes,No,98,96,5,0,6,0,1,3,6,College,8,8,Yes,Yes,Yes,IB,No,No,Yes,Yes,Yes,0,Yes,N0,House,2,Hunger games,Rap/Hip Hop,No,No,History,No
Male,76,16,10,1,Yes,No,80,90,0,0,0,2,0,17,6,Other,1,6,Yes,No,Yes,IB,Yes,Yes,Yes,No,No,2,Yes,N0,House,0,Ferris Buler's Day Off,Trap,Yes,No,Social Studies,No
Female,64,17,12,2,No,Yes,98,99,6,0,15,10,4,3,2,College,2,4,Yes,Yes,Yes,IB,No,Yes,Yes,No,Yes,2,No,N0,House,2,Monsters Inc,Countrry,No,No,Math,No
Female,68.4,16,11,2,Yes,Yes,100,100,4,0,8,0,3,2,6,College,2,4,No,No,Yes,STEM,No,No,Yes,Yes,Yes,0,Yes,N0,House,1,Matilda,Rap/Hip Hop,Yes,No,Math,Yes
Female,68.4,16,11,2,Yes,Yes,100,100,4,0,8,0,3,2,6,College,2,4,No,No,Yes,STEM,No,No,Yes,Yes,Yes,0,Yes,N0,House,1,Matilda,Rap/Hip Hop,Yes,No,Math,Yes
Male,68.4,17,12,2,No,No,100,100,7,12,10,0,2,2,1,College,2,4,Yes,No,No,STEM,Yes,Yes,Yes,No,Yes,0,No,N0,House,1,Avengers end game,Rock/Metal,Yes,No,Science,Yes
Female,63,16,10,2,No,Yes,100,100,5,0,11,0,4,4,17,College,2,4.5,Yes,Yes,Yes,IB,No,Yes,Yes,No,Yes,1,Yes,N0,House,1,Enders game,Rap/Hip Hop,No,No,English,No
Female,63,15,9,2,No,Yes,100,100,0,0,5,0,2,2,5,College,2,5,Yes,No,Yes,STEM,Yes,Yes,Yes,Yes,Yes,1,Yes,N0,House,1,Ant man,Rap/Hip Hop,Yes,No,English,No
Female,69,16,11,1,Yes,Yes,94,97,1,0,11,6,1,6,2,College,1,5,Yes,Yes,Yes,IB,No,No,Yes,No,Yes,1,No,N0,House,2,Never Say Never,Trap,Yes,Yes,Science,No
Female,62,14,9,3,Yes,No,98,100,1,0,2,1,10,3,6,College,3,7,No,No,Yes,IB,No,Yes,Yes,No,Yes,2,No,N0,House,2,Elf,Pop,Yes,No,Biology,Yes
