track_name,artist(s)_name,released_year,released_month,released_day,in_spotify_charts,streams,bpm
El Gordo Trae El Mando,Chino Pacas,2023,1,27,21,255932395,140
Mi Bello Angel,Natanael Cano,2023,6,30,8,31873544,128
Bye,Peso Pluma,2023,5,26,14,95053634,122
Danza Kuduro,"Don Omar, Lucenzo",2010,1,1,37,1279434863,130
Nosso Quadro,"Ana Castela, AgroPlay",2023,2,2,9,233801632,160
Locked Out Of Heaven,Bruno Mars,2012,12,5,9,1481349984,144
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",2023,4,4,14,142095275,192
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2022,6,17,27,618885532,163
Counting Stars,OneRepublic,2013,1,1,43,2011464183,122
Ghost,Justin Bieber,2021,3,19,24,1167330737,154
Under The Influence,Chris Brown,2019,10,4,26,929964809,117
PRC,"Natanael Cano, Peso Pluma",2023,1,23,26,436027885,138
Gasolina,Daddy Yankee,2004,7,13,18,657723613,96
One Dance,"Drake, WizKid, Kyla",2016,4,4,24,2713922350,104
Enchanted,Taylor Swift,2010,1,1,16,621660989,164
Save Your Tears,The Weeknd,2020,3,20,13,1591223784,118
Sure Thing,Miguel,2010,5,25,19,950906471,81
Every Breath You Take - Remastered 2003,The Police,1983,1,6,19,1593270737,117
The Night We Met,Lord Huron,2015,2,2,35,1410088830,174
We Found Love,"Rihanna, Calvin Harris",2011,1,1,21,1235005533,128
When I Was Your Man,Bruno Mars,2012,12,5,11,1661187319,145
Let Me Down Slowly,Alec Benjamin,2018,5,25,19,1374581173,150
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",2023,6,2,16,94186466,90
Do I Wanna Know?,Arctic Monkeys,2013,1,1,26,1788326445,85
Demons,Imagine Dragons,2012,1,1,13,1840364617,180
ýýýýýýýýýýýý,YOASOBI,2023,4,12,16,143573775,166
Reminder,The Weeknd,2016,11,25,17,684675814,160
Shake It Off,Taylor Swift,2014,1,1,13,1113838873,160
Why'd You Only Call Me When You're High?,Arctic Monkeys,2013,1,1,29,1267333350,92
SNAP,Rosa Linn,2022,3,19,18,726307468,170
Shape of You,Ed Sheeran,2017,1,6,10,3562543890,96
Night Changes,One Direction,2014,11,17,18,1131090940,120
Fin de Semana,"Oscar Maydon, Junior H",2023,1,13,14,307370144,98
Creep,Radiohead,1992,9,21,7,1271293243,92
Car's Outside,James Arthur,2019,10,18,10,265882712,150
Apocalypse,Cigarettes After Sex,2017,3,21,17,841749534,94
Cheques,Shubh,2023,5,19,8,47956378,90
Pink + White,Frank Ocean,2016,8,20,30,806397070,160
Circles,Post Malone,2019,8,30,16,2132335812,120
Just The Way You Are,Bruno Mars,2010,1,1,13,1641426668,109
Take Me To Church,Hozier,2013,9,13,31,2135158446,129
Bebe Dame,"Fuerza Regida, Grupo Frontera",2022,12,16,22,367316268,157
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,2021,4,9,12,350381515,130
Titi Me Preguntï¿,Bad Bunny,2022,5,6,42,1264310836,107
Better Than Revenge (Taylor's Version),Taylor Swift,2023,7,7,11,30343206,146
Shut up My Moms Calling,Hotel Ugly,2020,2,10,14,405136812,139
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1968,7,1,14,1145727611,116
Es un Secreto,Plan B,2010,7,20,36,540654286,95
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",2023,6,8,33,57312735,170
Ditto,NewJeans,2022,12,19,22,397582059,134
Take On Me,a-ha,1984,10,19,17,1479115056,84
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",2023,6,2,4,86773632,146
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",2023,5,1,14,133753727,74
Acrï¿½ï¿½s,Shakira,2023,5,11,29,123124076,144
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",2022,11,24,19,463564958,136
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",2023,5,15,6,64533040,100
S-Class,Stray Kids,2023,6,2,19,65496046,105
Hits Different,Taylor Swift,2023,5,26,0,68616963,106
Chanel,"Becky G, Peso Pluma",2023,3,30,10,161460990,132
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2023,6,2,5,70106975,120
Area Codes,"Kaliii, Kaliii",2023,3,17,13,113509496,155
Abcdario,"Junior H, Eden Muï¿½ï",2023,5,13,5,89933133,129
Obsessed,"Abhijay Sharma, Riar Saab",2022,9,29,6,71007139,135
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2023,6,2,3,43522589,98
FLOWER,JISOO,2023,3,31,18,232896922,124
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",2023,6,2,0,37126685,135
Eyes Closed,Ed Sheeran,2023,3,23,30,195576623,107
Escapism.,"RAYE, 070 Shake",2022,10,12,25,532336353,96
La Jumpa,"Arcangel, Bad Bunny",2022,11,30,34,538115192,123
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2023,5,26,0,46142772,90
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",2022,12,2,16,401036314,117
Las Morras,"BLESSD, Peso Pluma",2023,4,4,8,127026613,133
CHORRITO PA LAS ANIMAS,Feid,2022,12,2,36,345031710,96
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2022,12,1,10,288101651,149
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2023,5,26,2,60350538,110
Players,Coi Leray,2022,11,30,6,335074782,105
Bite Me,ENHYPEN,2023,5,22,69,76767396,105
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2023,5,26,5,46065667,134
Normal,Feid,2022,7,8,36,459276435,170
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2023,6,2,1,39666245,81
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2023,3,1,5,138517666,154
Bad Habit,Steve Lacy,2022,6,29,12,822633917,169
CUFF IT,Beyoncï¿,2022,7,29,10,595900742,115
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2023,6,5,6,51985779,84
69,"Nicky Jam, Feid",2023,5,18,22,57945987,93
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2023,4,21,34,115010040,91
Search & Rescue,Drake,2023,4,7,6,175097833,142
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2023,5,19,0,57089066,126
Lavender Haze,Taylor Swift,2022,10,21,8,488386797,97
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",2023,6,2,0,32761689,101
Efecto,Bad Bunny,2022,5,6,33,1047480053,98
Erro Gostoso - Ao Vivo,Simone Mendes,2023,1,27,5,153454328,154
Cupido,Tini,2023,2,14,24,217672943,120
Just Wanna Rock,Lil Uzi Vert,2022,10,17,13,457184829,150
Unstoppable,Sia,2016,1,21,13,939844851,174
Until I Found You,Stephen Sanchez,2021,9,1,4,726434358,202
